2023-11-14 15:03:03 - RAM: 83.8% used, Swap: 2.7% used
2023-11-14 15:03:13 - RAM: 84.3% used, Swap: 2.7% used
2023-11-14 15:03:25 - RAM: 92.7% used, Swap: 3.3% used
2023-11-14 15:03:35 - RAM: 93.6% used, Swap: 3.4% used
2023-11-14 15:03:45 - RAM: 83.6% used, Swap: 3.5% used
2023-11-14 15:03:55 - RAM: 44.1% used, Swap: 3.5% used
2023-11-14 15:04:05 - RAM: 64.8% used, Swap: 3.5% used
2023-11-14 15:04:15 - RAM: 45.1% used, Swap: 3.5% used
2023-11-14 15:04:25 - RAM: 22.2% used, Swap: 3.5% used
2023-11-14 15:04:35 - RAM: 20.5% used, Swap: 3.5% used
2023-11-14 15:04:45 - RAM: 23.2% used, Swap: 3.5% used
2023-11-14 15:04:55 - RAM: 51.7% used, Swap: 3.5% used
2023-11-14 15:05:05 - RAM: 16.9% used, Swap: 3.4% used
2023-11-14 15:05:15 - RAM: 16.9% used, Swap: 3.4% used
2023-11-14 15:05:25 - RAM: 16.9% used, Swap: 3.4% used
2023-11-14 15:05:35 - RAM: 54.7% used, Swap: 3.4% used
2023-11-14 15:05:45 - RAM: 64.0% used, Swap: 3.4% used
2023-11-14 15:05:55 - RAM: 26.2% used, Swap: 3.4% used
2023-11-14 15:06:05 - RAM: 51.0% used, Swap: 3.4% used
2023-11-14 15:06:15 - RAM: 59.6% used, Swap: 3.4% used
2023-11-14 15:06:25 - RAM: 61.4% used, Swap: 3.4% used
2023-11-14 15:06:35 - RAM: 91.3% used, Swap: 3.4% used
2023-11-14 15:06:45 - RAM: 90.7% used, Swap: 3.4% used
2023-11-14 15:06:55 - RAM: 92.8% used, Swap: 3.4% used
2023-11-14 15:07:05 - RAM: 78.1% used, Swap: 3.4% used
2023-11-14 15:07:15 - RAM: 39.8% used, Swap: 3.4% used
2023-11-14 15:07:25 - RAM: 25.5% used, Swap: 3.4% used
2023-11-14 15:07:35 - RAM: 55.6% used, Swap: 3.4% used
2023-11-14 15:07:45 - RAM: 63.9% used, Swap: 3.4% used
2023-11-14 15:07:55 - RAM: 83.9% used, Swap: 3.4% used
2023-11-14 15:08:05 - RAM: 85.1% used, Swap: 3.4% used
2023-11-14 15:08:15 - RAM: 52.1% used, Swap: 3.4% used
2023-11-14 15:08:25 - RAM: 41.9% used, Swap: 3.4% used
2023-11-14 15:08:35 - RAM: 51.3% used, Swap: 3.4% used
2023-11-14 15:08:45 - RAM: 56.2% used, Swap: 3.4% used
2023-11-14 15:08:55 - RAM: 61.2% used, Swap: 3.4% used
2023-11-14 15:09:05 - RAM: 66.2% used, Swap: 3.4% used
2023-11-14 15:09:15 - RAM: 84.0% used, Swap: 3.3% used
2023-11-14 15:09:25 - RAM: 99.3% used, Swap: 4.9% used
2023-11-14 15:09:35 - RAM: 99.3% used, Swap: 8.1% used
2023-11-14 15:09:45 - RAM: 50.1% used, Swap: 5.1% used
2023-11-14 15:09:55 - RAM: 28.9% used, Swap: 4.6% used
2023-11-14 15:10:05 - RAM: 60.3% used, Swap: 4.6% used
2023-11-14 15:10:15 - RAM: 66.4% used, Swap: 4.6% used
2023-11-14 15:10:25 - RAM: 72.4% used, Swap: 4.6% used
2023-11-14 15:10:35 - RAM: 78.3% used, Swap: 4.6% used
2023-11-14 15:10:45 - RAM: 83.0% used, Swap: 4.6% used
2023-11-14 15:10:55 - RAM: 85.4% used, Swap: 4.6% used
2023-11-14 15:11:05 - RAM: 84.8% used, Swap: 4.6% used
2023-11-14 15:11:17 - RAM: 85.8% used, Swap: 4.6% used
2023-11-14 15:11:31 - RAM: 99.4% used, Swap: 7.4% used
2023-11-14 15:11:42 - RAM: 99.5% used, Swap: 10.5% used
2023-11-14 15:11:52 - RAM: 99.6% used, Swap: 13.7% used
2023-11-14 15:12:02 - RAM: 64.5% used, Swap: 14.6% used
2023-11-14 15:12:12 - RAM: 62.3% used, Swap: 6.9% used
2023-11-14 15:12:22 - RAM: 23.8% used, Swap: 4.4% used
2023-11-14 15:12:32 - RAM: 27.3% used, Swap: 4.4% used
2023-11-14 15:12:42 - RAM: 75.2% used, Swap: 4.4% used
2023-11-14 15:12:52 - RAM: 78.6% used, Swap: 4.4% used
2023-11-14 15:13:02 - RAM: 82.2% used, Swap: 4.4% used
2023-11-14 15:13:12 - RAM: 95.2% used, Swap: 4.3% used
2023-11-14 15:13:22 - RAM: 99.3% used, Swap: 4.5% used
2023-11-14 15:13:32 - RAM: 99.6% used, Swap: 7.3% used
2023-11-14 15:13:42 - RAM: 99.5% used, Swap: 8.3% used
2023-11-14 15:13:52 - RAM: 97.9% used, Swap: 10.1% used
2023-11-14 15:14:02 - RAM: 99.5% used, Swap: 11.7% used
2023-11-14 15:14:12 - RAM: 99.6% used, Swap: 15.2% used
2023-11-14 15:14:22 - RAM: 99.5% used, Swap: 17.5% used
2023-11-14 15:14:33 - RAM: 99.7% used, Swap: 21.0% used
2023-11-14 15:14:43 - RAM: 99.8% used, Swap: 24.4% used
2023-11-14 15:14:53 - RAM: 99.6% used, Swap: 26.0% used
2023-11-14 15:15:03 - RAM: 99.7% used, Swap: 28.6% used
2023-11-14 15:15:13 - RAM: 99.6% used, Swap: 31.2% used
2023-11-14 15:15:23 - RAM: 99.7% used, Swap: 33.4% used
2023-11-14 15:15:33 - RAM: 99.7% used, Swap: 34.4% used
2023-11-14 15:15:43 - RAM: 99.7% used, Swap: 36.2% used
2023-11-14 15:15:53 - RAM: 99.7% used, Swap: 38.1% used
2023-11-14 15:16:03 - RAM: 99.6% used, Swap: 39.9% used
2023-11-14 15:16:13 - RAM: 99.7% used, Swap: 41.8% used
2023-11-14 15:16:23 - RAM: 45.3% used, Swap: 20.9% used
2023-11-14 15:16:33 - RAM: 11.6% used, Swap: 9.8% used
